Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla
Sao Paulo,13,3,3,10,5,4,1,1,1
Santos,11,4,4,8,1,10,2,7,5
Fluminense,8,8,3,8,5,6,3,14,2
Flamengo,12,4,3,5,6,8,4,3,8
Cruzeiro,11,2,6,7,4,8,5,10,3
Palmeiras,10,3,6,6,7,6,6,12,4
Gremio,12,4,3,5,3,11,7,2,12
Botafogo-RJ,10,4,5,4,9,6,8,11,7
Atletico-MG,9,5,5,6,5,8,9,15,6
Athletico-PR,11,6,2,3,6,10,10,4,15
Vasco,11,3,5,4,6,9,11,8,10
Internacional,12,2,5,3,7,9,12,6,14
Figueirense,10,5,4,4,6,9,13,9,11
Sport,11,5,3,3,4,12,14,5,17
Nautico,9,4,6,5,3,11,15,16,13
Goias,9,6,4,4,0,15,16,13,18
Corinthians,6,7,6,4,7,8,17,19,9
Parana,8,4,7,3,4,12,18,18,16
Juventude,7,8,4,4,0,15,19,17,19
America-RN,2,3,14,2,2,15,20,20,20
