Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss
Flamengo,11,4,4,10,4,5
Internacional,12,5,2,8,5,6
Atletico-MG,14,4,1,6,4,9
Sao Paulo,10,7,2,8,5,6
Fluminense,11,5,3,7,5,7
Gremio,10,6,3,4,11,4
Palmeiras,9,8,2,6,5,8
Santos,9,7,3,5,5,9
Athletico-PR,9,5,5,6,3,10
Bragantino,10,5,4,3,9,7
Ceara,7,5,7,7,5,7
Corinthians,8,7,4,5,5,9
Atletico-GO,6,9,4,6,5,8
Bahia,9,2,8,3,6,10
Sport,8,2,9,4,4,11
Vasco,7,5,7,3,6,10
Fortaleza,8,6,5,2,5,12
Goias,6,5,8,3,5,11
Coritiba,4,6,9,3,4,12
Botafogo-RJ,3,5,11,2,7,10
