Team,Home_Vict,Home_Draw,Home_Loss,Away_Vict,Away_Draw,Away_Loss,Overall_Pla,Home_Pla,Away_Pla,Season,Next_Season_Overall_Pla
Cruzeiro,17,5,1,14,2,7,1,1,1,2003,14.0
Santos,15,6,2,10,6,7,2,2,2,2003,1.0
Sao Paulo,13,5,5,9,7,7,3,13,3,2003,3.0
Coritiba,14,5,4,7,5,11,4,6,5,2003,13.0
Atletico-MG,13,5,5,6,10,7,5,12,4,2003,19.0
Sao Caetano,15,5,3,4,9,10,6,3,9,2003,5.0
Internacional,13,7,3,7,3,13,7,8,7,2003,10.0
Flamengo,14,5,4,4,7,12,8,5,13,2003,16.0
Goias,12,7,4,6,4,13,9,14,8,2003,7.0
Figueirense,11,8,4,6,6,11,10,15,6,2003,12.0
Parana,13,6,4,5,5,13,11,11,11,2003,17.0
Guarani,15,3,5,2,7,14,12,4,20,2003,22.0
Athletico-PR,14,4,5,3,6,14,13,7,15,2003,2.0
Criciuma,14,3,6,3,6,14,14,10,16,2003,21.0
Paysandu,13,7,3,2,5,16,15,9,22,2003,15.0
Corinthians,11,4,8,4,8,11,16,21,12,2003,6.0
Vitoria,11,5,7,4,6,13,17,19,14,2003,23.0
Vasco,11,7,5,2,8,13,18,17,18,2003,18.0
Ponte Preta,7,10,6,4,8,11,19,24,10,2003,11.0
Juventude,9,10,4,3,4,16,20,20,21,2003,8.0
Fluminense,11,7,5,2,4,17,21,16,23,2003,9.0
Gremio,10,6,7,3,5,15,22,23,17,2003,24.0
Fortaleza,10,6,7,2,7,14,23,22,19,2003,
Bahia,11,6,6,1,4,18,24,18,24,2003,
Santos,18,2,3,9,6,8,1,2,4,2004,10.0
Athletico-PR,16,5,2,9,6,8,2,4,2,2004,7.0
Sao Paulo,17,5,1,7,5,11,3,1,8,2004,11.0
Palmeiras,12,5,6,10,8,5,4,11,1,2004,4.0
Sao Caetano,15,3,5,8,5,10,5,6,6,2004,17.0
Corinthians,12,7,4,8,7,8,6,10,5,2004,1.0
Goias,16,5,2,5,4,14,7,3,12,2004,3.0
Juventude,10,7,6,10,3,10,8,19,3,2004,13.0
Fluminense,12,7,4,6,6,11,9,9,9,2004,5.0
Internacional,15,4,4,5,3,15,10,5,13,2004,2.0
Ponte Preta,11,4,8,8,3,12,11,17,7,2004,18.0
Figueirense,13,7,3,4,5,14,12,7,17,2004,16.0
Coritiba,11,5,7,4,12,7,13,16,10,2004,19.0
